dataset,old_name,item_text,scale,category,label,item_name,year,new_name,reverse,mini,maxi,recode,lavaan_name
vp,VP15301,Married,,le,Married,Married,2005,le_Married_Married_2005,1,,,1 = experienced; 0 = did not experience,
wp,WP14101,Married,,le,Married,Married,2006,le_Married_Married_2006,1,,,1 = experienced; 0 = did not experience,
xp,XP14801,Married,,le,Married,Married,2007,le_Married_Married_2007,1,,,1 = experienced; 0 = did not experience,
yp,YP15401,Married,,le,Married,Married,2008,le_Married_Married_2008,1,,,1 = experienced; 0 = did not experience,
zp,ZP15601,Married,,le,Married,Married,2009,le_Married_Married_2009,1,,,1 = experienced; 0 = did not experience,
bap,BAP15901,Married,,le,Married,Married,2010,le_Married_Married_2010,1,,,1 = experienced; 0 = did not experience,
bbp,BBP15104,Married,,le,Married,Married,2011,le_Married_Married_2011,1,,,1 = experienced; 0 = did not experience,
bcp,BCP15004,Married,,le,Married,Married,2012,le_Married_Married_2012,1,,,1 = experienced; 0 = did not experience,
bdp,BDP15704,Married,,le,Married,Married,2013,le_Married_Married_2013,1,,,1 = experienced; 0 = did not experience,
bep,BEP15004,Married,,le,Married,Married,2014,le_Married_Married_2014,1,,,1 = experienced; 0 = did not experience,
bfp,BFP17304,Married,,le,Married,Married,2015,le_Married_Married_2015,1,,,1 = experienced; 0 = did not experience,
vp,VP15325,Mother Died,,le,MomDied,MomDied,2005,le_MomDied_MomDied_2005,1,,,1 = experienced; 0 = did not experience,
wp,WP14125,Mother Died,,le,MomDied,MomDied,2006,le_MomDied_MomDied_2006,1,,,1 = experienced; 0 = did not experience,
xp,XP14828,Mother Died,,le,MomDied,MomDied,2007,le_MomDied_MomDied_2007,1,,,1 = experienced; 0 = did not experience,
yp,YP15428,Mother Died,,le,MomDied,MomDied,2008,le_MomDied_MomDied_2008,1,,,1 = experienced; 0 = did not experience,
zp,ZP15628,Mother Died,,le,MomDied,MomDied,2009,le_MomDied_MomDied_2009,1,,,1 = experienced; 0 = did not experience,
bap,BAP15928,Mother Died,,le,MomDied,MomDied,2010,le_MomDied_MomDied_2010,1,,,1 = experienced; 0 = did not experience,
bbp,BBP15131,Mother Died,,le,MomDied,MomDied,2011,le_MomDied_MomDied_2011,1,,,1 = experienced; 0 = did not experience,
bcp,BCP15031,Mother Died,,le,MomDied,MomDied,2012,le_MomDied_MomDied_2012,1,,,1 = experienced; 0 = did not experience,
bdp,BDP15731,Mother Died,,le,MomDied,MomDied,2013,le_MomDied_MomDied_2013,1,,,1 = experienced; 0 = did not experience,
bep,BEP15031,Mother Died,,le,MomDied,MomDied,2014,le_MomDied_MomDied_2014,1,,,1 = experienced; 0 = did not experience,
bfp,BFP17331,Mother Died,,le,MomDied,MomDied,2015,le_MomDied_MomDied_2015,1,,,1 = experienced; 0 = did not experience,
vp,VP15304,Moved In Together,,le,MoveIn,MoveIn,2005,le_MoveIn_MoveIn_2005,1,,,1 = experienced; 0 = did not experience,
wp,WP14104,Moved In Together,,le,MoveIn,MoveIn,2006,le_MoveIn_MoveIn_2006,1,,,1 = experienced; 0 = did not experience,
xp,XP14804,Moved In Together,,le,MoveIn,MoveIn,2007,le_MoveIn_MoveIn_2007,1,,,1 = experienced; 0 = did not experience,
yp,YP15404,Moved In Together,,le,MoveIn,MoveIn,2008,le_MoveIn_MoveIn_2008,1,,,1 = experienced; 0 = did not experience,
zp,ZP15604,Moved In Together,,le,MoveIn,MoveIn,2009,le_MoveIn_MoveIn_2009,1,,,1 = experienced; 0 = did not experience,
bap,BAP15904,Moved In Together,,le,MoveIn,MoveIn,2010,le_MoveIn_MoveIn_2010,1,,,1 = experienced; 0 = did not experience,
bbp,BBP15107,Moved In Together,,le,MoveIn,MoveIn,2011,le_MoveIn_MoveIn_2011,1,,,1 = experienced; 0 = did not experience,
bcp,BCP15007,Moved In Together,,le,MoveIn,MoveIn,2012,le_MoveIn_MoveIn_2012,1,,,1 = experienced; 0 = did not experience,
bdp,BDP15707,Moved In Together,,le,MoveIn,MoveIn,2013,le_MoveIn_MoveIn_2013,1,,,1 = experienced; 0 = did not experience,
bep,BEP15007,Moved In Together,,le,MoveIn,MoveIn,2014,le_MoveIn_MoveIn_2014,1,,,1 = experienced; 0 = did not experience,
bfp,BFP17307,Moved In Together,,le,MoveIn,MoveIn,2015,le_MoveIn_MoveIn_2015,1,,,1 = experienced; 0 = did not experience,
vp,VP15319,Partner Died,,le,PartDied,PartDied,2005,le_PartDied_PartDied_2005,1,,,1 = experienced; 0 = did not experience,
wp,WP14119,Partner Died,,le,PartDied,PartDied,2006,le_PartDied_PartDied_2006,1,,,1 = experienced; 0 = did not experience,
xp,XP14822,Partner Died,,le,PartDied,PartDied,2007,le_PartDied_PartDied_2007,1,,,1 = experienced; 0 = did not experience,
yp,YP15422,Partner Died,,le,PartDied,PartDied,2008,le_PartDied_PartDied_2008,1,,,1 = experienced; 0 = did not experience,
zp,ZP15622,Partner Died,,le,PartDied,PartDied,2009,le_PartDied_PartDied_2009,1,,,1 = experienced; 0 = did not experience,
bap,BAP15922,Partner Died,,le,PartDied,PartDied,2010,le_PartDied_PartDied_2010,1,,,1 = experienced; 0 = did not experience,
bbp,BBP15125,Partner Died,,le,PartDied,PartDied,2011,le_PartDied_PartDied_2011,1,,,1 = experienced; 0 = did not experience,
bcp,BCP15025,Partner Died,,le,PartDied,PartDied,2012,le_PartDied_PartDied_2012,1,,,1 = experienced; 0 = did not experience,
bdp,BDP15725,Partner Died,,le,PartDied,PartDied,2013,le_PartDied_PartDied_2013,1,,,1 = experienced; 0 = did not experience,
bep,BEP15025,Partner Died,,le,PartDied,PartDied,2014,le_PartDied_PartDied_2014,1,,,1 = experienced; 0 = did not experience,
bfp,BFP17325,Partner Died,,le,PartDied,PartDied,2015,le_PartDied_PartDied_2015,1,,,1 = experienced; 0 = did not experience,
vp,VP15313,Separated From Partner,,le,SepPart,SepPart,2005,le_SepPart_SepPart_2005,1,,,1 = experienced; 0 = did not experience,
wp,WP14113,Separated From Partner,,le,SepPart,SepPart,2006,le_SepPart_SepPart_2006,1,,,1 = experienced; 0 = did not experience,
xp,XP14816,Separated From Partner,,le,SepPart,SepPart,2007,le_SepPart_SepPart_2007,1,,,1 = experienced; 0 = did not experience,
yp,YP15416,Separated From Partner,,le,SepPart,SepPart,2008,le_SepPart_SepPart_2008,1,,,1 = experienced; 0 = did not experience,
zp,ZP15616,Separated From Partner,,le,SepPart,SepPart,2009,le_SepPart_SepPart_2009,1,,,1 = experienced; 0 = did not experience,
bap,BAP15916,Separated From Partner,,le,SepPart,SepPart,2010,le_SepPart_SepPart_2010,1,,,1 = experienced; 0 = did not experience,
bbp,BBP15119,Separated From Partner,,le,SepPart,SepPart,2011,le_SepPart_SepPart_2011,1,,,1 = experienced; 0 = did not experience,
bcp,BCP15019,Separated From Partner,,le,SepPart,SepPart,2012,le_SepPart_SepPart_2012,1,,,1 = experienced; 0 = did not experience,
bdp,BDP15719,Separated From Partner,,le,SepPart,SepPart,2013,le_SepPart_SepPart_2013,1,,,1 = experienced; 0 = did not experience,
bep,BEP15019,Separated From Partner,,le,SepPart,SepPart,2014,le_SepPart_SepPart_2014,1,,,1 = experienced; 0 = did not experience,
bfp,BFP17319,Separated From Partner,,le,SepPart,SepPart,2015,le_SepPart_SepPart_2015,1,,,1 = experienced; 0 = did not experience,
