Stress,CESD,N,E,O,A,C,sex
13,11,55.67 ,38.37 ,52.70 ,50.30 ,32.36 ,1
14,9,46.46 ,46.05 ,48.52 ,76.51 ,52.43 ,1
21,23,60.76 ,31.17 ,56.87 ,34.77 ,46.91 ,1
16,6,46.75 ,48.68 ,42.16 ,36.84 ,49.36 ,1
34,25,68.66 ,24.87 ,43.41 ,36.54 ,48.97 ,1
12,9,41.57 ,45.62 ,46.46 ,45.00 ,50.38 ,1
24,9,65.31 ,49.71 ,47.22 ,46.36 ,36.98 ,1
17,8,40.48 ,44.40 ,57.24 ,49.93 ,46.30 ,1
25,21,67.25 ,35.75 ,69.11 ,44.45 ,40.94 ,1
22,14,64.76 ,28.54 ,50.84 ,51.81 ,38.02 ,1
12,9,44.26 ,54.82 ,59.03 ,53.76 ,50.12 ,1
9,9,39.54 ,53.72 ,73.51 ,61.36 ,51.07 ,1
17,11,70.63 ,25.31 ,28.68 ,30.79 ,19.47 ,1
9,9,46.58 ,47.06 ,56.69 ,57.92 ,54.79 ,1
20,9,52.85 ,31.32 ,51.40 ,50.14 ,43.65 ,1
18,13,53.15 ,53.63 ,67.77 ,34.79 ,51.59 ,1
15,17,67.74 ,31.53 ,64.54 ,36.51 ,35.08 ,1
20,4,51.96 ,50.83 ,63.99 ,55.47 ,39.58 ,1
31,17,55.63 ,40.87 ,57.47 ,36.28 ,49.67 ,1
18,9,50.85 ,53.27 ,56.76 ,48.15 ,47.78 ,1
11,3,68.48 ,47.36 ,40.92 ,28.71 ,32.74 ,1
11,8,54.10 ,37.67 ,51.92 ,49.81 ,43.28 ,1
26,9,43.10 ,46.37 ,49.04 ,47.00 ,49.84 ,1
12,8,69.49 ,41.32 ,38.72 ,25.38 ,34.09 ,1
15,7,50.16 ,56.08 ,69.56 ,59.61 ,41.52 ,1
27,7,68.84 ,41.19 ,48.06 ,57.10 ,39.04 ,1
15,12,60.29 ,34.59 ,38.73 ,29.18 ,46.55 ,1
12,10,65.14 ,47.97 ,57.85 ,34.20 ,52.69 ,1
13,15,58.16 ,39.87 ,65.59 ,53.98 ,51.53 ,1
16,11,52.38 ,42.10 ,36.49 ,51.71 ,33.81 ,1
14,11,55.66 ,52.39 ,57.05 ,51.70 ,49.57 ,1
28,26,54.28 ,39.13 ,58.98 ,49.89 ,44.27 ,1
12,9,38.56 ,61.93 ,44.91 ,66.80 ,57.81 ,1
16,6,54.22 ,46.71 ,47.77 ,45.68 ,35.05 ,1
28,20,65.92 ,59.78 ,54.93 ,49.97 ,51.37 ,1
11,11,56.43 ,38.52 ,72.72 ,38.72 ,41.04 ,1
16,9,44.25 ,45.16 ,51.68 ,55.60 ,52.83 ,1
21,8,69.65 ,27.11 ,43.39 ,50.14 ,39.71 ,1
19,16,57.98 ,44.54 ,44.52 ,54.41 ,39.25 ,1
16,1,51.96 ,45.15 ,40.99 ,51.78 ,31.03 ,1
16,5,53.57 ,37.79 ,63.96 ,44.69 ,25.60 ,1
22,28,56.64 ,28.58 ,65.85 ,23.57 ,31.04 ,1
11,9,39.48 ,43.73 ,40.02 ,47.82 ,40.28 ,1
13,11,51.25 ,62.25 ,43.91 ,33.23 ,53.29 ,1
11,10,67.17 ,48.69 ,64.78 ,34.48 ,38.60 ,1
12,10,61.27 ,38.49 ,69.56 ,68.39 ,35.43 ,1
19,10,69.59 ,42.10 ,36.15 ,31.14 ,46.20 ,1
23,10,70.52 ,35.45 ,41.72 ,46.11 ,33.86 ,1
17,9,47.30 ,45.15 ,60.28 ,40.53 ,44.52 ,1
12,8,55.95 ,44.57 ,52.59 ,46.41 ,36.96 ,1
14,9,54.05 ,38.03 ,75.00 ,67.38 ,37.48 ,1
16,10,49.77 ,45.01 ,63.96 ,59.27 ,54.31 ,1
14,1,49.20 ,59.14 ,62.89 ,40.75 ,29.97 ,1
9,7,50.99 ,53.23 ,44.68 ,49.70 ,42.97 ,1
28,8,58.09 ,30.79 ,35.95 ,55.58 ,49.62 ,1
32,30,72.91 ,47.70 ,50.44 ,53.82 ,50.05 ,1
23,5,57.09 ,38.63 ,42.68 ,44.31 ,33.91 ,1
20,17,61.45 ,44.56 ,52.69 ,57.68 ,47.39 ,1
12,13,45.53 ,58.52 ,68.39 ,53.56 ,57.82 ,1
24,15,54.73 ,44.87 ,69.62 ,36.59 ,53.80 ,1
13,2,49.89 ,57.45 ,64.18 ,55.74 ,46.84 ,1
25,16,59.34 ,32.91 ,58.11 ,23.03 ,22.82 ,1
15,6,58.00 ,52.23 ,61.50 ,72.81 ,40.20 ,1
17,7,69.69 ,41.57 ,52.06 ,46.13 ,35.24 ,1
13,7,61.89 ,40.72 ,44.17 ,43.60 ,42.97 ,1
10,9,60.31 ,49.14 ,50.34 ,45.74 ,43.58 ,1
17,22,63.45 ,32.40 ,58.86 ,46.32 ,42.70 ,1
12,10,49.58 ,49.04 ,44.74 ,61.17 ,40.73 ,1
16,5,50.26 ,24.72 ,68.06 ,57.06 ,45.08 ,1
27,18,57.71 ,50.98 ,62.09 ,29.25 ,43.13 ,1
13,8,49.97 ,48.36 ,51.83 ,46.25 ,42.12 ,1
15,9,54.23 ,49.57 ,38.19 ,55.53 ,39.77 ,1
26,4,74.03 ,28.71 ,34.98 ,46.65 ,33.53 ,1
17,11,73.26 ,55.89 ,72.24 ,42.65 ,41.27 ,1
22,16,74.36 ,42.09 ,65.92 ,52.09 ,26.55 ,1
34,12,69.91 ,56.43 ,58.29 ,44.66 ,21.24 ,1
19,6,58.54 ,34.57 ,46.62 ,43.84 ,26.13 ,1
30,23,55.34 ,39.17 ,65.32 ,50.26 ,47.63 ,1
14,7,60.11 ,50.25 ,61.15 ,38.45 ,44.99 ,1
9,9,50.07 ,40.88 ,33.64 ,55.55 ,46.27 ,1
9,6,50.65 ,44.30 ,46.89 ,68.95 ,42.90 ,1
14,13,60.82 ,46.20 ,48.59 ,52.22 ,28.60 ,1
23,13,56.63 ,45.04 ,44.32 ,49.57 ,54.45 ,1
9,9,46.54 ,36.37 ,46.59 ,53.81 ,48.57 ,1
14,9,52.55 ,48.57 ,56.38 ,59.17 ,45.10 ,1
19,23,49.97 ,39.69 ,33.61 ,47.76 ,41.86 ,1
22,13,57.66 ,43.16 ,43.49 ,57.00 ,37.03 ,1
11,3,59.27 ,51.72 ,36.58 ,38.57 ,39.40 ,1
9,7,45.85 ,36.39 ,49.44 ,50.59 ,54.75 ,1
21,16,66.51 ,58.76 ,65.04 ,47.82 ,35.62 ,1
20,10,62.89 ,51.79 ,53.52 ,44.37 ,47.67 ,1
16,9,48.70 ,42.32 ,58.94 ,42.57 ,48.59 ,1
13,10,46.38 ,15.88 ,40.50 ,55.64 ,47.31 ,1
18,10,47.91 ,30.44 ,46.55 ,55.58 ,44.55 ,1
20,9,54.33 ,27.99 ,43.44 ,36.88 ,40.25 ,1
21,20,55.86 ,37.17 ,51.72 ,48.02 ,39.14 ,1
20,19,56.17 ,46.19 ,38.18 ,37.28 ,35.85 ,1
27,18,60.10 ,31.18 ,52.91 ,59.43 ,38.81 ,1
11,9,35.40 ,49.48 ,49.84 ,52.00 ,47.60 ,1
31,20,58.08 ,42.95 ,36.26 ,42.47 ,47.16 ,1
15,9,64.69 ,39.88 ,48.80 ,46.28 ,36.54 ,1
14,9,55.44 ,48.51 ,50.51 ,47.80 ,40.75 ,1
13,12,51.64 ,41.95 ,48.81 ,35.06 ,41.05 ,1
13,8,44.08 ,38.44 ,34.29 ,46.09 ,38.03 ,1
20,8,58.31 ,28.70 ,37.13 ,57.45 ,32.86 ,1
36,18,51.94 ,32.25 ,34.60 ,40.26 ,46.54 ,1
27,15,63.78 ,48.71 ,70.25 ,44.23 ,32.10 ,1
15,6,52.89 ,58.35 ,39.89 ,59.27 ,46.90 ,1
24,14,49.36 ,18.54 ,46.77 ,27.04 ,40.23 ,1
23,10,54.78 ,50.58 ,55.08 ,53.34 ,49.82 ,1
13,11,57.21 ,39.45 ,33.05 ,36.88 ,40.54 ,1
29,9,70.87 ,18.40 ,57.63 ,62.92 ,23.26 ,1
14,13,65.05 ,28.80 ,61.03 ,52.37 ,47.12 ,1
9,0,34.42 ,44.69 ,68.33 ,59.78 ,49.88 ,1
13,9,57.00 ,57.01 ,39.80 ,51.49 ,35.83 ,1
21,14,63.50 ,28.47 ,53.16 ,63.25 ,55.10 ,1
12,10,55.18 ,55.97 ,66.97 ,42.12 ,33.12 ,1
12,10,62.42 ,55.68 ,79.12 ,50.11 ,46.37 ,1
29,15,59.09 ,35.39 ,48.84 ,70.87 ,27.75 ,1
14,1,71.78 ,40.58 ,37.97 ,36.59 ,32.31 ,1
13,6,57.15 ,38.48 ,39.32 ,68.86 ,48.83 ,1
17,8,44.10 ,44.31 ,30.44 ,46.24 ,30.81 ,1
23,11,68.43 ,47.25 ,53.81 ,52.01 ,29.40 ,1
15,9,57.94 ,70.12 ,83.72 ,65.06 ,45.11 ,1
13,11,64.65 ,46.48 ,40.30 ,61.03 ,38.40 ,1
19,14,68.91 ,28.02 ,42.95 ,65.11 ,38.61 ,1
17,12,54.09 ,40.94 ,53.95 ,53.62 ,44.91 ,1
17,10,45.96 ,41.34 ,59.81 ,40.51 ,61.78 ,1
17,7,44.36 ,46.47 ,57.50 ,55.70 ,49.06 ,1
24,16,68.42 ,38.55 ,57.51 ,51.77 ,40.64 ,1
21,15,62.41 ,29.70 ,42.48 ,32.63 ,41.91 ,1
33,23,63.60 ,47.43 ,61.13 ,15.69 ,45.29 ,1
27,20,61.36 ,50.76 ,69.34 ,51.94 ,35.59 ,1
14,11,60.11 ,57.58 ,74.14 ,52.12 ,33.05 ,1
16,12,51.33 ,40.97 ,60.06 ,44.29 ,36.05 ,1
29,15,73.57 ,22.54 ,48.07 ,29.12 ,40.61 ,1
9,8,48.84 ,47.65 ,69.51 ,44.41 ,50.49 ,1
10,6,53.74 ,50.81 ,47.77 ,48.16 ,43.99 ,1
22,12,51.28 ,35.58 ,34.26 ,61.46 ,44.07 ,1
14,9,47.36 ,40.95 ,71.90 ,65.08 ,45.41 ,1
21,10,53.89 ,56.13 ,63.00 ,45.89 ,49.64 ,1
34,16,73.02 ,38.51 ,61.57 ,42.47 ,41.48 ,1
10,6,43.88 ,39.41 ,50.04 ,49.97 ,32.82 ,1
16,4,56.47 ,46.94 ,48.14 ,63.10 ,44.50 ,1
20,4,68.32 ,39.58 ,51.67 ,57.33 ,26.85 ,1
28,14,75.43 ,35.26 ,39.34 ,39.39 ,27.75 ,1
15,7,58.21 ,57.90 ,51.18 ,50.26 ,25.02 ,1
14,10,46.26 ,56.03 ,46.88 ,40.09 ,36.94 ,1
11,11,52.98 ,44.03 ,56.97 ,57.96 ,40.18 ,1
18,20,61.31 ,33.49 ,51.92 ,44.01 ,41.82 ,1
17,7,66.99 ,50.96 ,43.16 ,55.61 ,29.87 ,1
27,21,58.06 ,45.76 ,68.89 ,38.35 ,41.54 ,1
24,12,69.39 ,56.00 ,46.28 ,56.23 ,33.63 ,1
29,16,65.05 ,47.45 ,48.24 ,59.30 ,41.23 ,1
15,6,62.57 ,53.84 ,70.37 ,53.53 ,35.32 ,1
21,9,51.83 ,36.24 ,63.21 ,55.71 ,54.71 ,1
13,9,49.56 ,56.41 ,66.59 ,58.80 ,55.51 ,1
14,0,48.70 ,49.19 ,47.51 ,42.35 ,42.93 ,1
25,2,55.58 ,48.55 ,50.05 ,61.55 ,47.14 ,1
13,12,53.74 ,68.88 ,92.66 ,66.74 ,29.30 ,1
9,9,50.73 ,24.93 ,51.92 ,55.70 ,49.03 ,1
14,9,57.30 ,49.52 ,50.62 ,53.53 ,43.18 ,1
21,10,57.88 ,49.52 ,57.24 ,59.09 ,27.71 ,1
20,18,72.01 ,37.14 ,49.59 ,19.70 ,34.14 ,1
9,9,45.65 ,51.34 ,65.27 ,67.43 ,48.06 ,1
14,11,52.21 ,37.28 ,52.59 ,61.83 ,35.66 ,1
12,10,71.99 ,23.23 ,32.80 ,53.74 ,30.53 ,1
12,8,43.82 ,52.37 ,57.66 ,57.50 ,42.86 ,1
28,19,58.37 ,28.89 ,33.52 ,27.06 ,47.30 ,1
12,8,58.46 ,44.41 ,59.31 ,40.24 ,42.61 ,1
12,9,56.91 ,41.21 ,42.44 ,57.62 ,40.27 ,1
11,9,53.60 ,49.75 ,55.50 ,53.73 ,42.04 ,1
9,7,53.28 ,41.00 ,70.94 ,50.07 ,52.90 ,1
12,2,43.98 ,41.49 ,37.04 ,51.32 ,40.49 ,1
14,0,33.33 ,37.20 ,61.26 ,59.52 ,44.19 ,1
16,13,60.42 ,32.61 ,31.65 ,45.77 ,37.48 ,1
11,9,53.26 ,57.72 ,68.58 ,27.45 ,53.99 ,1
14,6,68.37 ,42.81 ,48.67 ,53.72 ,32.58 ,1
13,10,54.74 ,35.34 ,51.30 ,50.08 ,37.99 ,1
15,5,68.16 ,44.24 ,59.81 ,38.85 ,37.93 ,1
14,9,45.15 ,53.62 ,47.83 ,48.14 ,48.23 ,1
9,6,43.97 ,40.80 ,48.33 ,59.34 ,46.49 ,1
29,14,67.28 ,36.55 ,32.11 ,51.85 ,30.98 ,1
13,9,47.38 ,46.80 ,45.38 ,59.11 ,56.48 ,1
17,13,58.86 ,19.00 ,54.41 ,53.77 ,40.08 ,1
15,11,51.48 ,37.41 ,54.14 ,59.50 ,43.87 ,1
33,14,63.04 ,40.06 ,54.83 ,50.27 ,50.30 ,1
10,9,37.15 ,63.61 ,47.75 ,47.82 ,45.68 ,1
14,0,58.42 ,46.11 ,43.94 ,55.91 ,37.62 ,1
19,7,67.11 ,39.42 ,42.16 ,40.55 ,40.75 ,1
16,7,67.28 ,39.72 ,42.98 ,34.60 ,40.88 ,1
19,11,57.49 ,49.24 ,61.94 ,42.59 ,48.30 ,1
22,13,60.27 ,36.91 ,49.97 ,42.35 ,34.75 ,1
19,3,49.57 ,47.52 ,57.90 ,40.64 ,56.73 ,1
14,5,54.18 ,43.35 ,47.46 ,53.55 ,44.25 ,1
14,15,49.71 ,33.91 ,45.47 ,65.06 ,37.15 ,1
23,8,59.90 ,37.30 ,48.73 ,55.64 ,38.88 ,1
26,26,65.99 ,36.98 ,57.75 ,59.22 ,33.87 ,1
36,23,63.65 ,32.78 ,45.59 ,49.17 ,33.40 ,1
17,28,60.93 ,45.22 ,67.41 ,27.40 ,53.27 ,1
27,22,67.17 ,34.98 ,51.80 ,38.70 ,34.42 ,1
28,11,58.65 ,33.62 ,53.92 ,59.36 ,46.30 ,1
16,16,54.58 ,43.44 ,64.93 ,49.98 ,45.71 ,1
14,14,58.39 ,42.41 ,50.06 ,32.64 ,38.52 ,1
13,2,43.10 ,47.31 ,49.09 ,53.77 ,46.56 ,1
15,4,55.83 ,42.35 ,44.73 ,53.98 ,36.61 ,1
17,11,52.29 ,50.48 ,62.57 ,46.31 ,47.86 ,1
15,16,43.18 ,59.69 ,56.23 ,40.76 ,52.38 ,1
12,4,78.47 ,23.38 ,20.76 ,36.19 ,2.98 ,1
21,9,55.92 ,57.57 ,63.41 ,72.51 ,33.90 ,1
11,9,49.59 ,51.40 ,64.03 ,69.02 ,49.92 ,1
9,6,47.61 ,35.77 ,68.50 ,63.26 ,54.82 ,1
17,16,51.90 ,45.71 ,63.77 ,44.43 ,28.57 ,1
12,3,53.52 ,41.26 ,45.22 ,46.37 ,22.62 ,1
25,6,71.40 ,28.50 ,38.05 ,32.95 ,28.92 ,1
9,0,37.33 ,44.99 ,15.53 ,52.08 ,44.36 ,1
12,13,60.31 ,48.26 ,60.50 ,53.98 ,47.87 ,1
18,13,69.15 ,36.97 ,38.78 ,44.29 ,22.87 ,1
16,11,65.35 ,29.67 ,50.64 ,48.36 ,38.70 ,1
15,12,61.61 ,41.88 ,47.35 ,40.44 ,46.70 ,1
19,10,61.52 ,26.99 ,51.84 ,63.04 ,30.50 ,1
16,25,59.88 ,17.18 ,41.18 ,72.48 ,25.65 ,1
11,4,62.38 ,46.95 ,60.45 ,36.49 ,38.72 ,1
23,12,55.51 ,35.46 ,63.68 ,17.69 ,50.98 ,1
15,16,61.38 ,29.75 ,48.27 ,55.88 ,34.49 ,1
10,7,52.53 ,36.13 ,38.77 ,57.51 ,42.16 ,1
24,16,70.22 ,20.65 ,63.85 ,57.61 ,43.12 ,1
11,9,35.80 ,61.37 ,79.45 ,51.53 ,53.82 ,1
20,18,59.54 ,43.80 ,66.94 ,61.17 ,48.83 ,1
16,12,69.55 ,29.82 ,50.67 ,57.77 ,30.93 ,1
31,32,70.70 ,33.42 ,41.26 ,31.68 ,9.51 ,1
12,7,45.02 ,33.98 ,33.81 ,57.72 ,43.30 ,1
13,5,63.82 ,57.90 ,73.95 ,46.34 ,43.54 ,1
23,11,65.84 ,23.14 ,56.69 ,55.74 ,49.64 ,1
18,13,53.87 ,44.01 ,74.40 ,48.58 ,59.57 ,1
19,10,62.39 ,29.49 ,34.54 ,51.90 ,35.92 ,1
13,12,44.33 ,42.15 ,40.48 ,55.75 ,54.70 ,1
10,9,54.68 ,46.19 ,33.54 ,55.40 ,28.07 ,1
9,1,47.60 ,45.76 ,43.52 ,48.22 ,47.57 ,1
14,9,43.00 ,37.10 ,36.86 ,49.95 ,36.89 ,1
22,20,56.18 ,36.76 ,50.53 ,50.18 ,48.00 ,1
10,12,47.65 ,38.99 ,65.36 ,66.79 ,27.73 ,1
25,23,65.01 ,35.46 ,47.24 ,57.11 ,39.50 ,1
21,10,56.86 ,49.68 ,61.33 ,55.88 ,47.67 ,1
20,22,63.49 ,55.68 ,60.00 ,44.31 ,49.83 ,1
27,10,55.88 ,53.57 ,61.38 ,59.54 ,41.35 ,1
19,8,66.03 ,44.88 ,32.61 ,49.68 ,30.56 ,1
32,27,62.90 ,33.47 ,43.50 ,37.14 ,55.58 ,1
22,22,55.67 ,51.57 ,54.09 ,49.71 ,34.44 ,1
10,7,50.53 ,33.40 ,42.96 ,46.93 ,50.66 ,1
18,9,68.47 ,54.78 ,73.27 ,48.05 ,46.19 ,1
13,8,55.40 ,39.81 ,45.92 ,55.55 ,38.29 ,1
17,11,64.89 ,47.66 ,68.06 ,47.98 ,34.92 ,1
9,9,55.67 ,45.48 ,57.12 ,63.18 ,48.59 ,1
16,8,60.06 ,27.88 ,42.78 ,53.77 ,31.62 ,1
21,7,42.94 ,48.18 ,71.57 ,44.34 ,47.53 ,1
12,4,54.46 ,38.31 ,38.45 ,46.22 ,34.83 ,1
31,7,55.34 ,46.40 ,43.07 ,48.34 ,45.61 ,1
20,11,62.54 ,38.67 ,49.73 ,49.76 ,41.17 ,1
10,11,41.24 ,56.73 ,60.17 ,57.47 ,45.88 ,1
14,8,56.74 ,46.89 ,64.96 ,57.61 ,41.22 ,1
18,10,65.15 ,46.32 ,58.78 ,46.07 ,33.21 ,1
16,17,65.39 ,19.82 ,52.09 ,45.95 ,34.33 ,1
15,12,53.44 ,40.66 ,50.89 ,49.90 ,52.74 ,1
14,9,55.65 ,29.46 ,61.37 ,49.67 ,44.62 ,1
21,15,67.35 ,44.41 ,52.16 ,38.78 ,33.58 ,1
13,15,58.47 ,57.98 ,74.40 ,53.86 ,37.63 ,1
11,9,53.35 ,54.84 ,58.34 ,57.70 ,43.80 ,1
22,15,44.16 ,31.10 ,54.05 ,27.45 ,47.44 ,1
32,20,68.73 ,40.00 ,51.06 ,44.38 ,28.01 ,1
14,9,60.27 ,37.60 ,51.57 ,50.04 ,42.38 ,1
16,11,39.48 ,41.01 ,51.09 ,51.87 ,53.24 ,1
13,10,47.42 ,46.43 ,62.03 ,48.17 ,44.59 ,1
