"","title","type","year","rating","imdb_score","decade","genre"
"64","Harry Potter and the Goblet of Fire","Movie/Other",2005,"PG-13/TV-14",7.7,"2000-2009","Action/Adventure"
"65","Harry Potter and the Chamber of Secrets","Movie/Other",2002,"PG/TV-PG",7.4,"2000-2009","Family"
"66","The Iron Giant","Movie/Other",1999,"PG/TV-PG",8,"1990-1999","Sci-Fi"
"67","Harry Potter and the Deathly Hallows: Part 1","Movie/Other",2010,"PG-13/TV-14",7.7,"2010-2019","Family"
"68","In Bruges","Movie/Other",2008,"R/TV-MA",7.9,"2000-2009","Cult"
"69","The Hobbit: The Desolation of Smaug","Movie/Other",2013,"PG-13/TV-14",7.8,"2010-2019","Action/Adventure"
"70","A Star Is Born","Movie/Other",2018,"R/TV-MA",7.7,"2010-2019","Drama"
"71","A Star Is Born","Movie/Other",2018,"R/TV-MA",7.7,"2010-2019","Musical"
"72","A Star Is Born","Movie/Other",2018,"R/TV-MA",7.7,"2010-2019","Drama"
"73","A Star Is Born","Movie/Other",2018,"R/TV-MA",7.7,"2010-2019","Musical"
"74","A Star Is Born","Movie/Other",1954,"PG/TV-PG",7.6,"1950-1959","Musical"
"75","A Star Is Born","Movie/Other",1954,"PG/TV-PG",7.6,"1950-1959","Romance"
"76","A Star Is Born","Movie/Other",1954,"PG/TV-PG",7.6,"1950-1959","Drama"
"77","A Star Is Born","Movie/Other",1954,"PG/TV-PG",7.6,"1950-1959","Romance"
"78","A Star Is Born","Movie/Other",1976,"R/TV-MA",6.2,"1970-1979","Drama"
"79","A Star Is Born","Movie/Other",1976,"R/TV-MA",6.2,"1970-1979","Drama"
"80","A Star Is Born","Movie/Other",1976,"R/TV-MA",6.2,"1970-1979","Drama"
"81","A Star Is Born","Movie/Other",1976,"R/TV-MA",6.2,"1970-1979","Romance"
"82","City Lights","Movie/Other",1931,"G/TV-G",8.5,"1930-1939","Romance"
"83","Bohemian Rhapsody","Movie/Other",2018,"PG-13/TV-14",8,"2010-2019","LGBTQ"
"84","Last Week Tonight with John Oliver","TV",2014,"R/TV-MA",8.9,"2010-2019","Comedy"
"85","The Fighter","Movie/Other",2010,"R/TV-MA",7.8,"2010-2019","Biography"
"86","M","Movie/Other",1931,"PG-13/TV-14",8.3,"1930-1939","Mystery"
"87","Mystic River","Movie/Other",2003,"R/TV-MA",7.9,"2000-2009","Crime"
"88","Cool Hand Luke","Movie/Other",1967,"PG/TV-PG",8.1,"1960-1969","Crime"
"89","Harry Potter and the Half-Blood Prince","Movie/Other",2009,"PG/TV-PG",7.6,"2000-2009","Fantasy"
"90","The Hobbit: An Unexpected Journey","Movie/Other",2012,"PG-13/TV-14",7.8,"2010-2019","Family"
"91","X-Men","Movie/Other",2000,"PG-13/TV-14",7.4,"2000-2009","Action/Adventure"
"92","The Nice Guys","Movie/Other",2016,"R/TV-MA",7.4,"2010-2019","Thriller"
"93","Harry Potter and the Order of the Phoenix","Movie/Other",2007,"PG-13/TV-14",7.5,"2000-2009","Family"
"94","Silicon Valley","TV",2014,"R/TV-MA",8.5,"2010-2019","Comedy"
"95","The Goonies","Movie/Other",1985,"PG/TV-PG",7.8,"1980-1989","Family"
"96","Castle in the Sky","Movie/Other",1986,"PG/TV-PG",8,"1980-1989","Sci-Fi"
"97","Shazam!","Movie/Other",2019,"PG-13/TV-14",7.1,"2010-2019","Fantasy"
"98","Adventure Time","TV",2010,"PG/TV-PG",8.6,"2010-2019","Children"
"99","Night of the Living Dead","Movie/Other",1968,"R/TV-MA",7.9,"1960-1969","Cult"
"100","In the Mood for Love","Movie/Other",2000,"PG/TV-PG",8.1,"2000-2009","Romance"
"101","Big Little Lies","TV",2017,"R/TV-MA",8.5,"2010-2019","Comedy"
"102","Misery","Movie/Other",1990,"R/TV-MA",7.8,"1990-1999","Drama"
"103","Rome","TV",2005,"R/TV-MA",8.7,"2000-2009","History"
"104","Luther","TV",2010,"PG-13/TV-14",8.5,"2010-2019","Comedy"
"105","Crash","Movie/Other",2004,"R/TV-MA",7.8,"2000-2009","Thriller"
"106","Nausicaä of the Valley of the Wind","Movie/Other",1984,"PG/TV-PG",8.1,"1980-1989","Action/Adventure"
"107","Boardwalk Empire","TV",2010,"R/TV-MA",8.5,"2010-2019","Crime"
"108","Network","Movie/Other",1976,"R/TV-MA",8.1,"1970-1979","Drama"
"109","Curb Your Enthusiasm","TV",2000,"R/TV-MA",8.7,"2000-2009","Comedy"
"110","When Harry Met Sally...","Movie/Other",1989,"R/TV-MA",7.6,"1980-1989","Comedy"
"111","Pride and Prejudice","TV",1995,"G/TV-G",8.8,"1990-1999","Romance"
"112","Pride and Prejudice","TV",1995,"G/TV-G",8.8,"1990-1999","Drama"
"113","They Shall Not Grow Old","Movie/Other",2018,"R/TV-MA",8.3,"2010-2019","History"
"114","Paris, Texas","Movie/Other",1984,"R/TV-MA",8.1,"1980-1989","Drama"
"115","The Others","Movie/Other",2001,"PG-13/TV-14",7.6,"2000-2009","Drama"
"116","Crazy, Stupid, Love.","Movie/Other",2011,"PG-13/TV-14",7.4,"2010-2019","Comedy"
"117","Home Alone","Movie/Other",1990,"PG/TV-PG",7.6,"1990-1999","Children"
"118","Blood Diamond","Movie/Other",2006,"R/TV-MA",8,"2000-2009","Drama"
"119","The Abyss","Movie/Other",1989,"PG-13/TV-14",7.6,"1980-1989","Action/Adventure"
"120","Batman: The Dark Knight Returns, Part 1","Movie/Other",2012,"PG-13/TV-14",8,"2010-2019","Animation"
"121","Three Colors: Red","Movie/Other",1994,"R/TV-MA",8.1,"1990-1999","Mystery"
"122","Ponyo","Movie/Other",2008,"G/TV-G",7.7,"2000-2009","Animation"
"123","Solaris","Movie/Other",1972,"PG/TV-PG",8.1,"1970-1979","Mystery"
"124","The Night Of","TV",2016,"R/TV-MA",8.5,"2010-2019","Mystery"
"125","A Nightmare on Elm Street","Movie/Other",1984,"R/TV-MA",7.5,"1980-1989","Horror"
"126","A Nightmare on Elm Street","Movie/Other",1984,"R/TV-MA",7.5,"1980-1989","Crime"
"127","A Nightmare on Elm Street","Movie/Other",2010,"R/TV-MA",5.2,"2010-2019","Horror"
"128","A Nightmare on Elm Street","Movie/Other",2010,"R/TV-MA",5.2,"2010-2019","Horror"
"129","The Hate U Give","Movie/Other",2018,"PG-13/TV-14",7.4,"2010-2019","Drama"
"130","Pretty Little Liars","TV",2010,"PG-13/TV-14",7.4,"2010-2019","Romance"
"131","Moulin Rouge!","Movie/Other",2001,"PG-13/TV-14",7.6,"2000-2009","Romance"
"132","Batman","Movie/Other",1989,"PG-13/TV-14",7.5,"1980-1989","Action/Adventure"
"133","Six Feet Under","TV",2001,"R/TV-MA",8.7,"2000-2009","Comedy"
"134","Alita: Battle Angel","Movie/Other",2019,"PG-13/TV-14",7.3,"2010-2019","Action/Adventure"
"135","The Diving Bell and the Butterfly","Movie/Other",2007,"PG-13/TV-14",8,"2000-2009","Biography"
"136","Enter the Dragon","Movie/Other",1973,"R/TV-MA",7.7,"1970-1979","Action/Adventure"
"137","A Streetcar Named Desire","Movie/Other",1951,"PG/TV-PG",8,"1950-1959","Drama"
"138","Gangs of New York","Movie/Other",2002,"R/TV-MA",7.5,"2000-2009","History"
"139","Ready or Not","Movie/Other",2019,"R/TV-MA",6.8,"2010-2019","Comedy"
"140","Fast Five","Movie/Other",2011,"PG-13/TV-14",7.3,"2010-2019","Mystery"
"141","The Lego Batman Movie","Movie/Other",2017,"PG/TV-PG",7.3,"2010-2019","Comedy"
"142","Deadwood","TV",2004,"R/TV-MA",8.6,"2000-2009","History"
"143","Three Colors: Blue","Movie/Other",1993,"R/TV-MA",7.9,"1990-1999","Mystery"
"144","A Fish Called Wanda","Movie/Other",1988,"R/TV-MA",7.5,"1980-1989","Cult"
"145","Glengarry Glen Ross","Movie/Other",1992,"R/TV-MA",7.7,"1990-1999","Mystery"
"146","Blood Simple","Movie/Other",1984,"R/TV-MA",7.6,"1980-1989","Mystery"
"147","The Leftovers","TV",2014,"R/TV-MA",8.3,"2010-2019","Drama"
"148","Unbreakable","Movie/Other",2000,"PG-13/TV-14",7.3,"2000-2009","Drama"
"149","A Christmas Story","Movie/Other",1983,"PG/TV-PG",7.9,"1980-1989","Comedy"
"150","Doctor Sleep","Movie/Other",2019,"R/TV-MA",7.4,"2010-2019","Thriller"
"151","Bowling for Columbine","Movie/Other",2002,"R/TV-MA",7.9,"2000-2009","Documentary"
"152","The Hobbit: The Battle of the Five Armies","Movie/Other",2014,"PG-13/TV-14",7.4,"2010-2019","Fantasy"
"153","Planes, Trains and Automobiles","Movie/Other",1987,"R/TV-MA",7.6,"1980-1989","Comedy"
"154","Death Note","TV",2006,"R/TV-MA",9,"2000-2009","Anime"
"155","Barry","TV",2018,"R/TV-MA",8.3,"2010-2019","Drama"
"156","Crazy Rich Asians","Movie/Other",2018,"PG-13/TV-14",6.9,"2010-2019","Drama"
"157","Fanny and Alexander","Movie/Other",1982,"R/TV-MA",8.1,"1980-1989","Fantasy"
"158","Watchmen","TV",2019,"R/TV-MA",8.1,"2010-2019","Sci-Fi"
"159","Sherlock Holmes: A Game of Shadows","Movie/Other",2011,"PG-13/TV-14",7.5,"2010-2019","Mystery"
"160","Le Samouraï","Movie/Other",1967,"PG/TV-PG",8.1,"1960-1969","Drama"
"161","Harold and Maude","Movie/Other",1971,"PG/TV-PG",7.9,"1970-1979","Drama"
"162","The Conjuring 2","Movie/Other",2016,"R/TV-MA",7.3,"2010-2019","Thriller"
"163","Les Misérables","Movie/Other",2012,"PG-13/TV-14",7.6,"2010-2019","History"
"164","Raising Arizona","Movie/Other",1987,"PG-13/TV-14",7.3,"1980-1989","Comedy"
"165","Us","Movie/Other",2019,"R/TV-MA",6.9,"2010-2019","Horror"
"166","Die Hard: With a Vengeance","Movie/Other",1995,"R/TV-MA",7.6,"1990-1999","Thriller"
"167","Gremlins","Movie/Other",1984,"PG/TV-PG",7.3,"1980-1989","Horror"
"168","Bridesmaids","Movie/Other",2011,"R/TV-MA",6.8,"2010-2019","Comedy"
"169","Succession","TV",2018,"R/TV-MA",8.5,"2010-2019","Drama"
"170","Whisper of the Heart","Movie/Other",1995,"G/TV-G",7.9,"1990-1999","Romance"
"171","School of Rock","Movie/Other",2003,"PG-13/TV-14",7.1,"2000-2009","Comedy"
"172","Wings of Desire","Movie/Other",1987,"PG-13/TV-14",8,"1980-1989","Fantasy"
"173","Euphoria","TV",2019,"R/TV-MA",8.3,"2010-2019","Drama"
"174","Aquaman","Movie/Other",2018,"PG-13/TV-14",7,"2010-2019","Romance"
"175","Doctor Who","TV",2005,"PG/TV-PG",8.6,"2000-2009","Fantasy"
"176","Nocturnal Animals","Movie/Other",2016,"R/TV-MA",7.5,"2010-2019","Romance"
"177","Porco Rosso","Movie/Other",1992,"PG/TV-PG",7.7,"1990-1999","Animation"
"178","The Pacific","TV",2010,"R/TV-MA",8.3,"2010-2019","Action/Adventure"
"179","Ray","Movie/Other",2004,"PG-13/TV-14",7.7,"2000-2009","Biography"
"180","Chicago","Movie/Other",2002,"PG-13/TV-14",7.1,"2000-2009","Musical"
"181","The Tale of the Princess Kaguya","Movie/Other",2013,"PG/TV-PG",8,"2010-2019","Animation"
"182","The Wages of Fear","Movie/Other",1953,"PG-13/TV-14",8.1,"1950-1959","Action/Adventure"
"183","The Office","TV",2001,"PG-13/TV-14",8.5,"2000-2009","Comedy"
"184","Tropic Thunder","Movie/Other",2008,"R/TV-MA",7,"2000-2009","Comedy"
"185","The Manchurian Candidate","Movie/Other",1962,"PG-13/TV-14",7.9,"1960-1969","Mystery"
"186","The Manchurian Candidate","Movie/Other",1962,"PG-13/TV-14",7.9,"1960-1969","Mystery"
"187","The Manchurian Candidate","Movie/Other",2004,"R/TV-MA",6.6,"2000-2009","Drama"
"188","The Manchurian Candidate","Movie/Other",2004,"R/TV-MA",6.6,"2000-2009","Mystery"
"189","Temple Grandin","Movie/Other",2010,"PG/TV-PG",8.3,"2010-2019","Biography"
"190","Corpse Bride","Movie/Other",2005,"PG/TV-PG",7.3,"2000-2009","Romance"
"191","The Wild Bunch","Movie/Other",1969,"R/TV-MA",7.9,"1960-1969","Action/Adventure"
"192","The Secret World of Arrietty","Movie/Other",2010,"G/TV-G",7.6,"2010-2019","Action/Adventure"
"193","Veep","TV",2012,"R/TV-MA",8.3,"2010-2019","Comedy"
"194","The Normal Heart","Movie/Other",2014,"R/TV-MA",7.9,"2010-2019","History"
"195","My Left Foot: The Story of Christy Brown","Movie/Other",1989,"R/TV-MA",7.9,"1980-1989","Biography"
"196","Fast & Furious Presents: Hobbs & Shaw","Movie/Other",2019,"PG-13/TV-14",6.4,"2010-2019","Comedy"
"197","Blindspotting","Movie/Other",2018,"R/TV-MA",7.4,"2010-2019","Drama"
"198","Rebel Without a Cause","Movie/Other",1955,"PG-13/TV-14",7.7,"1950-1959","Drama"
"199","Notting Hill","Movie/Other",1999,"PG-13/TV-14",7.1,"1990-1999","Drama"
"200","The NeverEnding Story","Movie/Other",1984,"PG/TV-PG",7.4,"1980-1989","Fantasy"
"201","Match Point","Movie/Other",2005,"R/TV-MA",7.6,"2000-2009","Romance"
"202","The Last Emperor","Movie/Other",1987,"PG-13/TV-14",7.7,"1980-1989","Drama"
"203","Elf","Movie/Other",2003,"PG/TV-PG",6.9,"2000-2009","Fantasy"
"204","An American Werewolf in London","Movie/Other",1981,"R/TV-MA",7.5,"1980-1989","Cult"
"205","The Devil's Advocate","Movie/Other",1997,"R/TV-MA",7.5,"1990-1999","Fantasy"
"206","Hoop Dreams","Movie/Other",1994,"PG-13/TV-14",8.3,"1990-1999","Drama"
"207","Lolita","Movie/Other",1962,"R/TV-MA",7.6,"1960-1969","Romance"
"208","Sharp Objects","TV",2018,"R/TV-MA",8.2,"2010-2019","Mystery"
"209","Downton Abbey","Movie/Other",2019,"PG/TV-PG",7.4,"2010-2019","Romance"
"210","Empire of the Sun","Movie/Other",1987,"PG/TV-PG",7.7,"1980-1989","Action/Adventure"
"211","Bonnie and Clyde","Movie/Other",1967,"R/TV-MA",7.8,"1960-1969","Crime"
"212","Oz","TV",1997,"R/TV-MA",8.7,"1990-1999","Crime"
"213","Love Actually","Movie/Other",2003,"R/TV-MA",7.6,"2000-2009","Comedy"
"214","Contagion","Movie/Other",2011,"PG-13/TV-14",6.7,"2010-2019","Mystery"
"215","Wallace & Gromit: The Curse of the Were-Rabbit","Movie/Other",2005,"G/TV-G",7.4,"2000-2009","Action/Adventure"
"216","The Outsider","TV",2020,"R/TV-MA",7.9,"2020-2029","Crime"
"217","Batman Returns","Movie/Other",1992,"PG-13/TV-14",7,"1990-1999","Crime"
"218","Winter's Bone","Movie/Other",2010,"R/TV-MA",7.2,"2010-2019","Mystery"
"219","The Wind Rises","Movie/Other",2013,"PG-13/TV-14",7.8,"2010-2019","Romance"
"220","Rise of the Guardians","Movie/Other",2012,"PG/TV-PG",7.3,"2010-2019","Animation"
"221","True Blood","TV",2008,"R/TV-MA",7.8,"2000-2009","Sci-Fi"
"222","Boys Don't Cry","Movie/Other",1999,"R/TV-MA",7.5,"1990-1999","LGBTQ"
"223","Deliverance","Movie/Other",1972,"R/TV-MA",7.7,"1970-1979","Drama"
"224","Mrs. Doubtfire","Movie/Other",1993,"PG-13/TV-14",7,"1990-1999","Family"
"225","Stagecoach","Movie/Other",1939,"PG/TV-PG",7.9,"1930-1939","Action/Adventure"
"226","Cabaret","Movie/Other",1972,"PG/TV-PG",7.8,"1970-1979","LGBTQ"
"227","Doom Patrol","TV",2019,"R/TV-MA",8,"2010-2019","Drama"
"228","Die Hard 2","Movie/Other",1990,"R/TV-MA",7.2,"1990-1999","Thriller"
"229","Three Kings","Movie/Other",1999,"R/TV-MA",7.1,"1990-1999","Action/Adventure"
"230","The Newsroom","TV",2012,"PG-13/TV-14",8.6,"2010-2019","Drama"
"231","Ad Astra","Movie/Other",2019,"PG-13/TV-14",6.6,"2010-2019","Thriller"
"232","Unstoppable","Movie/Other",2010,"PG-13/TV-14",6.8,"2010-2019","Thriller"
"233","The Adventures of Robin Hood","Movie/Other",1938,"PG/TV-PG",7.9,"1930-1939","Romance"
"234","The Bridges of Madison County","Movie/Other",1995,"PG-13/TV-14",7.6,"1990-1999","Drama"
"235","Anastasia","Movie/Other",1997,"G/TV-G",7.2,"1990-1999","Fantasy"
"236","A Little Princess","Movie/Other",1995,"G/TV-G",7.7,"1990-1999","Fantasy"
"237","Withnail & I","Movie/Other",1987,"R/TV-MA",7.7,"1980-1989","Comedy"
"238","Hedwig and the Angry Inch","Movie/Other",2001,"R/TV-MA",7.7,"2000-2009","Musical"
"239","Bad Education","Movie/Other",2019,"R/TV-MA",7.1,"2010-2019","Crime"
"240","Long Shot","Movie/Other",2019,"R/TV-MA",6.8,"2010-2019","Comedy"
"241","Michael Clayton","Movie/Other",2007,"R/TV-MA",7.2,"2000-2009","Crime"
"242","Yesterday","Movie/Other",2019,"PG-13/TV-14",6.8,"2010-2019","Musical"
"243","To Be or Not to Be","Movie/Other",1942,"G/TV-G",8.2,"1940-1949","Comedy"
"244","Belle de Jour","Movie/Other",1967,"R/TV-MA",7.7,"1960-1969","Drama"
"245","Doctor Zhivago","Movie/Other",1965,"PG-13/TV-14",8,"1960-1969","Drama"
"246","Precious","Movie/Other",2009,"R/TV-MA",7.3,"2000-2009","Thriller"
"247","Good Boys","Movie/Other",2019,"R/TV-MA",6.7,"2010-2019","Drama"
"248","Entourage","TV",2004,"PG-13/TV-14",8.4,"2000-2009","Comedy"
"249","Little Shop of Horrors","Movie/Other",1986,"PG-13/TV-14",7,"1980-1989","Horror"
"250","Dangerous Liaisons","Movie/Other",1988,"R/TV-MA",7.6,"1980-1989","Romance"
"251","Doubt","Movie/Other",2008,"PG-13/TV-14",7.5,"2000-2009","Thriller"
"252","It Chapter Two","Movie/Other",2019,"R/TV-MA",6.6,"2010-2019","Drama"
"253","A Hard Day's Night","Movie/Other",1964,"G/TV-G",7.6,"1960-1969","Musical"
"254","Punch-Drunk Love","Movie/Other",2002,"R/TV-MA",7.3,"2000-2009","Drama"
"255","From Dusk Till Dawn","Movie/Other",1996,"R/TV-MA",7.2,"1990-1999","Mystery"
"256","The Man Who Knew Too Much","Movie/Other",1956,"PG/TV-PG",7.5,"1950-1959","Action/Adventure"
"257","The Player","Movie/Other",1992,"R/TV-MA",7.5,"1990-1999","Mystery"
"258","Hunter x Hunter","TV",2011,"PG-13/TV-14",8.9,"2010-2019","Animation"
"259","Team America: World Police","Movie/Other",2004,"R/TV-MA",7.2,"2000-2009","Action/Adventure"
"260","Bridge to Terabithia","Movie/Other",2007,"PG/TV-PG",7.1,"2000-2009","Fantasy"
"261","His Dark Materials","TV",2019,"PG-13/TV-14",7.9,"2010-2019","Sci-Fi"
"262","Police Story","Movie/Other",1985,"PG-13/TV-14",7.6,"1980-1989","Crime"
"263","Pokémon Detective Pikachu","Movie/Other",2019,"PG/TV-PG",6.6,"2010-2019","Mystery"
"264","The Animatrix","Movie/Other",2003,"R/TV-MA",7.4,"2000-2009","Sci-Fi"
"265","A Woman Under the Influence","Movie/Other",1974,"R/TV-MA",8.2,"1970-1979","Romance"
"266","The Jinx: The Life and Deaths of Robert Durst","TV",2015,"PG-13/TV-14",8.7,"2010-2019","Crime"
"267","Enemy at the Gates","Movie/Other",2001,"R/TV-MA",7.6,"2000-2009","History"
"268","Conspiracy","Movie/Other",2001,"R/TV-MA",7.7,"2000-2009","Drama"
"269","Secrets & Lies","Movie/Other",1996,"R/TV-MA",8,"1990-1999","Drama"
"270","My Brilliant Friend","TV",2018,"R/TV-MA",8.6,"2010-2019","Drama"
"271","The Adjustment Bureau","Movie/Other",2011,"PG-13/TV-14",7,"2010-2019","Sci-Fi"
"272","That Thing You Do!","Movie/Other",1996,"PG/TV-PG",6.9,"1990-1999","Comedy"
"273","Breaking the Waves","Movie/Other",1996,"R/TV-MA",7.8,"1990-1999","Drama"
"274","Hairspray","Movie/Other",2007,"PG/TV-PG",6.6,"2000-2009","Drama"
"275","Hairspray","Movie/Other",2007,"PG/TV-PG",6.6,"2000-2009","Family"
"276","Hairspray","Movie/Other",1988,"PG/TV-PG",6.9,"1980-1989","Drama"
"277","Hairspray","Movie/Other",1988,"PG/TV-PG",6.9,"1980-1989","Comedy"
"278","Au Revoir les Enfants","Movie/Other",1987,"PG/TV-PG",8,"1980-1989","Biography"
"279","Woodstock","Movie/Other",1970,"R/TV-MA",8.2,"1970-1979","Documentary"
"280","DodgeBall: A True Underdog Story","Movie/Other",2004,"PG-13/TV-14",6.7,"2000-2009","Sport"
"281","Harold & Kumar Go to White Castle","Movie/Other",2004,"R/TV-MA",7.1,"2000-2009","Comedy"
"282","Eastbound & Down","TV",2009,"R/TV-MA",8.2,"2000-2009","Sport"
"283","Signs","Movie/Other",2002,"PG-13/TV-14",6.7,"2000-2009","Thriller"
"284","Flight of the Conchords","TV",2007,"PG-13/TV-14",8.5,"2000-2009","Musical"
"285","Years and Years","TV",2019,"R/TV-MA",8.4,"2010-2019","Drama"
"286","The Circus","Movie/Other",1928,"G/TV-G",8.2,"1920-1929","Romance"
"287","When Marnie Was There","Movie/Other",2014,"PG/TV-PG",7.7,"2010-2019","Mystery"
"288","The Tale","Movie/Other",2018,"R/TV-MA",7.2,"2010-2019","Mystery"
"289","A Room with a View","Movie/Other",1985,"R/TV-MA",7.3,"1980-1989","Romance"
"290","Rio","Movie/Other",2011,"G/TV-G",6.9,"2010-2019","Animation"
"291","Amarcord","Movie/Other",1973,"R/TV-MA",7.9,"1970-1979","Drama"
"292","Three Colors: White","Movie/Other",1994,"R/TV-MA",7.6,"1990-1999","Comedy"
"293","Before the Devil Knows You're Dead","Movie/Other",2007,"R/TV-MA",7.3,"2000-2009","Thriller"
